1012.71,23,21,-44
1012.71,-19,-2,-18
1012.74,13,-12,55
1012.74,-9,-10,6
1012.75,-5,-9,8
1012.78,4,8,-20
1012.78,4,6,19
1012.78,-5,12,0
1012.79,9,6,-41
1012.81,8,11,2
1012.81,-5,0,9
1012.81,6,13,-50
1012.83,-7,-14,74
1012.85,11,12,-39
1012.85,15,-2,21
1012.88,9,0,14
1012.88,-8,-3,-10
1012.89,22,-11,37
1012.88,-11,24,17
1012.92,-9,8,2
1012.92,-13,32,11
1012.92,6,2,-13
1012.93,-15,-39,-27
1012.95,18,-9,43
1012.95,-19,10,-36
1013.00,14,7,49
1012.96,-13,14,-55
1013.02,3,-5,24
1012.99,-6,11,33
1013.04,1,-21,-34
1013.06,-4,7,1
1013.08,1,-4,-5
1013.02,-6,6,-1
1013.10,13,-12,39
1013.04,-6,17,-15
1013.04,9,-16,18
1013.06,22,16,67
1013.08,-15,-21,-67
1013.08,6,4,-22
1013.08,-1,-24,61
1013.10,6,1,-35
1013.10,13,-10,-11
1013.10,16,16,12
1013.18,-2,-9,-45
1013.18,-6,-4,-24
1013.14,-19,10,49
1013.22,-13,-9,-48
1013.22,3,-15,55
1013.24,-3,-14,20
1013.24,15,-31,-29
1013.26,8,-12,40
1013.26,-30,-9,-39
1013.28,12,1,-19
1013.28,18,-19,-16
1013.24,-3,-1,-8
1013.24,-18,-28,-5
1013.31,-11,2,2
1013.32,3,-6,-24
1013.28,-6,11,1
1013.31,-9,11,-26
1013.36,14,5,23
1013.38,-9,-3,-35
1013.38,-7,5,22
1013.40,14,-14,10
1013.42,-5,-3,-19
1013.43,-17,24,0
1013.43,-18,-6,15
1013.43,4,-21,-30
1013.47,-1,26,-6
1013.47,11,-27,47
1013.47,-18,22,-21
1013.49,27,11,-18
1013.49,-16,8,38
1013.49,-1,3,-26
1013.51,-4,-36,-17
1013.51,7,1,-15
1013.56,4,-30,-3
1013.56,11,-10,9
1013.56,-16,-4,-3
1013.56,-5,0,4
1013.57,6,-3,13
1013.57,-9,-13,6
1013.59,5,-59,23
1013.61,-11,-7,2
1013.61,-8,-10,10
1013.63,4,-14,-50
1013.63,16,33,17
1013.65,-2,5,34
1013.65,7,13,-23
1013.65,1,5,34
1013.67,-9,-15,-12
1013.67,-1,10,-21
1013.69,-6,-9,-2
1013.69,-4,-25,15
1013.71,-7,23,-38
1013.71,4,-21,24
1013.73,-12,-19,-2
1013.73,10,-2,-49
1013.75,-4,4,-3
1013.75,1,-1,68
1013.77,6,-4,-28
1013.77,0,-21,-26
1013.77,-14,-8,35
1013.79,5,-18,-61
1013.79,10,-3,-6
1013.81,1,-25,12
1013.83,-22,-4,25
1013.85,-30,-14,-51
1013.85,-25,8,-47
1013.85,-15,19,31
1013.85,-11,0,15
1013.96,-27,-9,-29
1013.96,0,-19,-23
1013.96,13,-11,33
1013.96,2,-20,-41
1013.98,-2,-1,-27
1014.00,-22,11,-13
1014.00,23,-31,30
1014.00,-6,26,-3
