=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.26 13:08:30 =~=~=~=~=~=~=~=~=~=~=~=
c%B`c 2@C`
ccX0
!`i)`s

M[@cFcP.C
c3
@
&cBRAW READINGS  X: -5 Y: -1 Z: -12
RAW READINGS  X: -2 Y: -2 Z: -10
RAW READINGS  X: -2 Y: 4 Z: -10
RAW READINGS  X: -5 Y: -1 Z: -11
RAW READINGS  X: 0 Y: 2 Z: -12
RAW READINGS  X: -1 Y: 2 Z: -9
RAW READINGS  X: 0 Y: -1 Z: -10
RAW READINGS  X: 0 Y: 1 Z: -9
RAW READINGS  X: -6 Y: 3 Z: -9
RAW READINGS  X: -1 Y: -1 Z: -12
RAW READINGS  X: -2 Y: 1 Z: -9
RAW READINGS  X: -2 Y: 0 Z: -9
RAW READINGS  X: -3 Y: 0 Z: -11
RAW READINGS  X: -4 Y: 0 Z: -14
RAW READINGS  X: -2 Y: -4 Z: -9
RAW READINGS  X: -4 Y: 1 Z: -10
RAW READINGS  X: -5 Y: -1 Z: -9
RAW READINGS  X: -5 Y: -2 Z: -11
RAW READINGS  X: -3 Y: 1 Z: -10
RAW READINGS  X: -3 Y: 1 Z: -12
RAW READINGS  X: 0 Y: 0 Z: -9
RAW READINGS  X: -3 Y: -1 Z: -12
RAW READINGS  X: -4 Y: -2 Z: -8
RAW READINGS  X: -5 Y: -2 Z: -11
RAW READINGS  X: -9 Y: -2 Z: -10
RAW READINGS  X: 0 Y: 2 Z: -11
RAW READINGS  X: -5 Y: -6 Z: -11
RAW READINGS  X: -4 Y: -3 Z: -8
RAW READINGS  X: -4 Y: -10 Z: -10
RAW READINGS  X: 0 Y: 1 Z: -9
RAW READINGS  X: -5 Y: -6 Z: -10
RAW READINGS  X: -1 Y: 0 Z: -9
RAW READINGS  X: -7 Y: 6 Z: -11
RAW READINGS  X: -10 Y: -6 Z: -15
RAW READINGS  X: -5 Y: -1 Z: -11
RAW READINGS  X: -5 Y: -3 Z: -6
RAW READINGS  X: -7 Y: -2 Z: -11
RAW READINGS  X: -5 Y: -4 Z: -11
RAW READINGS  X: 0 Y: 10 Z: -7
RAW READINGS  X: -10 Y: -25 Z: -13
RAW READINGS  X: 0 Y: -2 Z: -9
RAW READINGS  X: -2 Y: 6 Z: -8
RAW READINGS  X: 0 Y: -1 Z: -11
RAW READINGS  X: -2 Y: -1 Z: -9
RAW READINGS  X: -3 Y: -1 Z: -10
RAW READINGS  X: -5 Y: -1 Z: -9
RAW READINGS  X: -16 Y: -35 Z: -13
RAW READINGS  X: -4 Y: 6 Z: -10
RAW READINGS  X: 5 Y: 19 Z: -6
RAW READINGS  X: -6 Y: -6 Z: -10
Average Readings  X: -21 Y: -39 Z: 3

RAW READINGS  X: -5 Y: -7 Z: -10
RAW READINGS  X: -5 Y: -2 Z: -10
RAW READINGS  X: -11 Y: -8 Z: -9
RAW READINGS  X: 0 Y: -3 Z: -8
RAW READINGS  X: 0 Y: -2 Z: -14
RAW READINGS  X: 0 Y: 1 Z: -11
RAW READINGS  X: -2 Y: 2 Z: -12
RAW READINGS  X: 92 Y: 71 Z: -95
RAW READINGS  X: -21 Y: -28 Z: -18
