Time,xAcc,yAcc,zAcc,zGyro
8640,-268,-1438,3948,-1725
8660,-283,-1417,4092,-1712
8680,-305,-1418,4189,-1700
8700,-310,-1408,4308,-1689
8720,-277,-1406,4368,-1674
8740,-261,-1386,4431,-1661
8760,-272,-1372,4438,-1647
8780,-274,-1370,4410,-1637
8800,-238,-1360,4337,-1624
8820,-257,-1345,4255,-1614
8840,-237,-1316,4155,-1603
8860,-226,-1296,4069,-1594
8880,-232,-1261,3986,-1584
8900,-249,-1239,3899,-1576
8920,-240,-1228,3838,-1563
8940,-249,-1203,3793,-1552
8960,-243,-1168,3792,-1541
8980,-274,-1162,3799,-1531
9000,-295,-1145,3858,-1517
9020,-257,-1133,3927,-1503
9040,-249,-1139,3994,-1493
9060,-269,-1127,4079,-1484
9080,-276,-1137,4141,-1471
9100,-257,-1123,4236,-1458
9120,-234,-1135,4279,-1447
9140,-240,-1128,4340,-1439
9160,-249,-1108,4361,-1426
9180,-243,-1098,4336,-1418
9200,-233,-1095,4312,-1410
9220,-243,-1072,4250,-1402
9240,-269,-1048,4209,-1389
9260,-264,-1014,4133,-1377
9280,-260,-1014,4057,-1368
9300,-267,-989,3986,-1354
9320,-279,-954,3930,-1344
9340,-274,-941,3895,-1335
9360,-240,-942,3857,-1322
9380,-252,-924,3885,-1313
9400,-279,-920,3896,-1301
9420,-273,-912,3938,-1289
9440,-244,-900,4019,-1278
9460,-258,-904,4074,-1270
9480,-283,-899,4171,-1253
9500,-256,-901,4231,-1242
9520,-246,-881,4287,-1232
9540,-258,-891,4329,-1223
9560,-262,-875,4342,-1212
9580,-246,-852,4321,-1199
9600,-245,-857,4270,-1188
9620,-269,-833,4239,-1178
9640,-251,-823,4183,-1167
9660,-229,-804,4124,-1156
9680,-236,-796,4064,-1149
9700,-260,-781,4017,-1140
9720,-262,-767,3963,-1126
9740,-232,-762,3946,-1117
9760,-224,-753,3942,-1108
9780,-252,-735,3967,-1098
9800,-259,-739,3974,-1085
9820,-250,-731,4012,-1076
9840,-223,-739,4058,-1067
9860,-239,-723,4098,-1059
9880,-236,-727,4160,-1048
9900,-208,-725,4217,-1037
9920,-200,-729,4242,-1032
9940,-196,-728,4273,-1023
9960,-193,-710,4290,-1013
9980,-203,-711,4282,-1004
10000,-186,-703,4263,-998
10020,-190,-694,4248,-990
10040,-181,-691,4188,-983
10060,-210,-673,4153,-975
10080,-197,-654,4135,-965
10100,-191,-666,4076,-960
10120,-199,-625,4035,-952
10140,-194,-632,4003,-946
10160,-197,-635,3997,-938
10180,-209,-633,3983,-927
10200,-187,-625,4000,-923
10220,-185,-624,4023,-917
10240,-198,-612,4033,-906
10260,-199,-627,4097,-899
10280,-186,-627,4132,-891
10300,-180,-629,4189,-882
10320,-185,-621,4235,-877
10340,-180,-629,4260,-872
10360,-175,-628,4292,-864
10380,-162,-625,4288,-855
10400,-171,-609,4284,-850
10420,-189,-604,4262,-843
10440,-171,-596,4231,-839
10460,-164,-590,4187,-832
10480,-160,-583,4128,-823
10500,-149,-564,4090,-819
10520,-158,-564,4045,-814
10540,-146,-557,4000,-807
10560,-139,-554,3987,-803
10580,-143,-563,3964,-797
10600,-166,-553,3964,-792
10620,-157,-564,4008,-786
10640,-144,-563,4047,-781
10660,-154,-566,4112,-777
10680,-157,-570,4154,-769
10700,-141,-570,4220,-763
10720,-154,-580,4278,-761
10742,-157,-570,4314,-756
10762,-171,-563,4339,-743
10782,-159,-557,4315,-739
10802,-166,-555,4303,-729
10822,-168,-544,4271,-725
10842,-151,-542,4216,-718
10862,-159,-529,4154,-714
10882,-149,-522,4105,-706
10902,-132,-518,4033,-703
10922,-156,-514,3994,-696
10942,-135,-505,3970,-691
10962,-153,-509,3936,-684
10982,-146,-513,3960,-678
11002,-136,-511,4001,-675
11022,-147,-509,4041,-666
11042,-151,-505,4102,-661
11062,-147,-505,4159,-655
11082,-148,-517,4215,-649
11102,-160,-502,4275,-644
11122,-148,-513,4322,-637
11142,-148,-516,4353,-631
11162,-149,-511,4347,-628
11182,-151,-503,4332,-620
11202,-144,-504,4279,-616
11222,-154,-488,4237,-606
11242,-140,-482,4177,-600
11262,-144,-479,4104,-595
11282,-131,-462,4053,-593
11302,-129,-456,4015,-587
11322,-119,-463,3966,-580
11342,-113,-449,3947,-576
11362,-117,-455,3948,-573
11382,-120,-472,3984,-565
11402,-142,-463,4006,-563
11422,-130,-473,4077,-559
11442,-122,-466,4140,-551
11463,-125,-474,4184,-548
11483,-126,-485,4265,-542
11503,-125,-491,4290,-537
11523,-111,-477,4342,-531
11543,-108,-485,4352,-525
11563,-116,-480,4344,-525
11583,-99,-482,4316,-519
11603,-107,-484,4255,-514
11623,-114,-472,4212,-508
11643,-111,-457,4180,-505
11663,-104,-442,4106,-502
11683,-110,-439,4044,-496
11703,-106,-434,3999,-490
11723,-112,-419,3973,-486
11743,-94,-420,3971,-480
11763,-111,-429,3986,-478
11783,-103,-430,4009,-473
11803,-100,-434,4041,-472
11823,-104,-440,4092,-465
11843,-100,-440,4144,-461
11863,-106,-446,4207,-454
11883,-98,-451,4255,-449
11903,-116,-454,4299,-448
11923,-108,-441,4328,-441
11943,-119,-451,4325,-438
11963,-112,-449,4326,-433
11983,-101,-450,4285,-429
12003,-95,-443,4241,-423
12023,-95,-431,4197,-419
12043,-84,-424,4159,-415
12063,-101,-440,4096,-412
12083,-99,-425,4056,-406
12103,-100,-413,4016,-402
12123,-101,-405,4010,-398
12143,-98,-399,4008,-394
12163,-102,-383,4017,-390
12183,-103,-408,4040,-385
12203,-98,-410,4079,-381
12223,-91,-408,4122,-376
12243,-102,-418,4159,-373
12263,-101,-424,4210,-371
12283,-91,-419,4245,-362
12303,-87,-430,4276,-360
12323,-86,-434,4295,-353
12343,-88,-443,4293,-349
12363,-95,-415,4280,-343
12383,-85,-414,4270,-340
12403,-83,-422,4227,-338
12423,-93,-410,4194,-334
12443,-83,-401,4147,-332
12463,-77,-397,4110,-324
12483,-92,-382,4080,-322
12503,-95,-381,4040,-318
12523,-91,-394,4042,-315
12543,-78,-390,4034,-310
12563,-74,-392,4044,-306
12583,-86,-392,4051,-302
12603,-93,-392,4087,-298
12623,-80,-392,4115,-294
12643,-82,-400,4141,-288
12663,-98,-409,4191,-285
12683,-91,-403,4227,-281
12703,-90,-402,4265,-278
12724,-80,-409,4282,-274
12744,-89,-396,4280,-267
12764,-73,-400,4278,-267
12784,-81,-414,4268,-262
12804,-77,-383,4227,-257
12824,-80,-400,4180,-255
12844,-85,-376,4152,-249
12864,-81,-375,4099,-245
12884,-61,-397,4073,-242
12904,-74,-377,4062,-240
12924,-80,-372,4025,-236
12944,-80,-369,4035,-228
12964,-77,-373,4050,-226
12984,-69,-371,4056,-220
13004,-79,-375,4099,-216
13024,-72,-383,4137,-214
13044,-72,-379,4161,-210
13064,-93,-382,4207,-206
13084,-80,-386,4243,-201
13104,-64,-398,4254,-197
13124,-81,-385,4269,-193
13144,-62,-400,4279,-188
13164,-76,-379,4251,-186
13184,-73,-382,4238,-182
13204,-81,-378,4225,-177
13224,-78,-378,4174,-174
13244,-78,-388,4142,-169
13264,-66,-375,4118,-168
13284,-82,-371,4092,-162
13304,-77,-350,4057,-157
13324,-77,-359,4070,-152
13344,-75,-357,4052,-150
13364,-75,-346,4056,-147
13384,-66,-369,4087,-142
13404,-72,-367,4110,-138
13424,-68,-381,4137,-136
13444,-75,-375,4178,-132
13464,-78,-365,4201,-128
13484,-80,-385,4229,-121
13504,-69,-378,4240,-123
13524,-68,-382,4273,-117
13544,-63,-371,4251,-114
13564,-79,-388,4254,-108
13584,-68,-369,4227,-106
13604,-65,-371,4207,-100
13624,-60,-378,4173,-98
13644,-65,-356,4137,-92
13664,-66,-371,4116,-89
13684,-76,-353,4083,-84
13704,-70,-357,4070,-83
13724,-69,-338,4045,-78
13744,-55,-363,4075,-74
13764,-63,-344,4078,-74
13784,-63,-367,4101,-70
13804,-76,-362,4129,-66
13824,-64,-357,4156,-63
13844,-45,-359,4174,-59
13864,-59,-374,4217,-55
13884,-70,-374,4236,-49
13904,-59,-376,4240,-47
13924,-56,-372,4249,-46
